date;JPY;AUD;INR
10/12/2018;0,005663231;0,002500349;0,007421777
7/12/2018;8,87E-05;0,003877047;-0,001305438
6/12/2018;-0,00451588;0,004412583;0,006189456
5/12/2018;0,003717476;0,009585175;-0,000550467
4/12/2018;-0,00786119;0,002721831;0,000656907
3/12/2018;0,000792149;-0,007092228;0,012496378
30/11/2018;0,000792777;0,001777778;-0,003748157
29/11/2018;-0,001760874;-0,001777778;-0,010999488
28/11/2018;-0,000967161;-0,011148694;-0,002439759
27/11/2018;0,00184721;-0,000553787;-0,001112532
26/11/2018;0,005473661;0,00166044;0,002420069
23/11/2018;8,85E-05;0,002899153;0
22/11/2018;-0,000973408;0,001239926;-0,010745833
21/11/2018;0,002568305;-0,006769384;0
20/11/2018;0,001952779;0,01102851;-0,00274178
19/11/2018;-0,002484694;0,005196238;-0,003760843
16/11/2018;-0,007153296;-0,007529641;-0,000746307
15/11/2018;8,80E-05;-0,006203066;-0,004557458
14/11/2018;-0,001582835;-0,001937717;-0,005018502
13/11/2018;-0,000263562;-0,006253929;-0,002970521
12/11/2018;8,78E-05;0,007361656;0,005433861
9/11/2018;-0,002106188;0,00414308;-0,006941847
8/11/2018;0,004833262;0,002752548;0
7/11/2018;0,000793126;-0,003993671;0
6/11/2018;0,002118084;-0,004979952;-0,001728642
5/11/2018;-8,83E-05;-0,002499307;0,009463962
2/11/2018;0,004249298;0,001805681;-0,013932516
1/11/2018;-0,001949837;-0,018629294;-0,006800163
31/10/2018;-0,001680896;0,004514043;0,003759339
30/10/2018;0,006740602;-0,007062176;0,003160634
29/10/2018;0,004102021;0,004948755;-0,000306305
26/10/2018;-0,004546881;-0,001411433;0,002640022
25/10/2018;0,001424248;-0,002828856;0,001622632
24/10/2018;-0,001602137;0,003675955;-0,005640545
23/10/2018;-0,003373882;-0,000705866;6,80E-05
22/10/2018;0,002396061;0,005352125;0,003251442
19/10/2018;0,003025452;-0,002813337;-0,003879271
18/10/2018;-0,003913551;0,001407658;0
17/10/2018;0,00355714;0,004491236;0,001819342
16/10/2018;0,004285338;-0,001541588;-0,004685764
15/10/2018;-0,003928927;-0,002246561;0,003375993
12/10/2018;0,000445692;0,001404692;-0,007481543
11/10/2018;-0,000980261;-0,00973278;-0,001213429
10/10/2018;-0,006127089;0,006780645;-0,002388844
9/10/2018;-0,002387375;-0,003525848;0,004328338
8/10/2018;-0,004318138;-0,003680117;0,004142428
5/10/2018;-0,001669376;0,003397512;0,002477139
4/10/2018;-0,005428134;0,003808454;0,003266976
3/10/2018;0,007713247;0,011895739;0,005880158
2/10/2018;-0,002460674;0,004995847;0
1/10/2018;0,002020824;0;0,005811471
28/09/2018;0,002818392;-0,002217296;-0,001481865
27/09/2018;0,00574943;0,006912788;-0,00030988
26/09/2018;-0,002126718;-0,00110284;-0,00103224
25/09/2018;0,001505958;0,000275824;0,000809186
24/09/2018;0,001863437;0,005226253;0,005954125
21/09/2018;0,000888573;0,000274311;-0,002404143
20/09/2018;0,001868577;-0,00398489;0
19/09/2018;-0,000712251;-0,006076527;-0,008203478
18/09/2018;0,004549314;-0,005138543;0,006408983
