Week Return On;KO US Equity;FLR US Equity;GE US Equity;AMZN US Equity;WMT US Equity
2/05/2014;-0,001463058;-0,003697346;0,003007513;0,013757693;0,006359705
9/05/2014;-0,001953602;-0,004638834;-0,009744134;-0,051199636;0,001011122
16/05/2014;0,000489356;-0,025033289;0,009462008;0,018683274;-0,027651515
23/05/2014;-0,007581316;0,012155149;-0,005999235;0,048841115;-0,018179457
30/05/2014;0,008132085;0,013088652;0,010560064;0,000992826;0,015341886
6/06/2014;0,001955512;0,057538625;0,014558149;0,054775236;0,005731405
13/06/2014;-0,01512564;-0,022166247;-0,005151798;-0,010313344;-0,024996762
20/06/2014;0,032697548;0,011334364;-0,002585391;-0,006344439;0,005313496
27/06/2014;0,011993284;-0,020886398;-0,020023144;0,001141271;-0,0044926
4/07/2014;0,000948092;0,027445369;0,016267875;0,039812675;0,005441996
11/07/2014;-0,006156761;-0,025193062;-0,011541798;0,025802093;0,014125413
18/07/2014;0,01096021;-0,003116883;-0,003389339;0,035990757;0,00351471
25/07/2014;-0,033702569;-0,009640438;-0,02531974;-0,096609602;-0,014528473
1/08/2014;-0,041707317;-0,03643778;-0,01706285;-0,0523132;-0,03198631
8/08/2014;0,004072283;-0,014197952;0,012229304;0,031720185;0,015365787
15/08/2014;0,036248416;0,00055394;-0,000778409;0,053125;-0,01031204
22/08/2014;0,005870841;0,023252595;0,019889234;-0,006114558;0,024763194
29/08/2014;0,01459144;-0,000541052;-0,006500456;0,022467505;-0,003037106
5/09/2014;0,002876318;-0,003248071;0,004620935;0,021649363;0,026622517
12/09/2014;-0,009082218;-0,049694501;-0,008812732;-0,043853571;-0,022448716
19/09/2014;0,014230584;0,004000572;0,016233975;0,000392524;0,014121684
26/09/2014;0,003567182;-0,037284759;-0,025103576;-0,024477846;-0,004554919
3/10/2014;0,018957346;-0,024390244;-0,008974343;-0,001454163;0,010851092
10/10/2014;0,034186047;-0,047272727;-0,044487586;-0,035167627;0,012545266
17/10/2014;-0,035754441;-0,010019084;0,022662197;-0,024888404;-0,053518968
24/10/2014;-0,043143657;0,043373494;0,033036721;-0,054604136;0,030769231
31/10/2014;0,020716549;0,021401078;0,006629745;0,064098098;-0,001440168
7/11/2014;0,010506208;-0,000753693;0,023244753;-0,018333006;0,032778288
14/11/2014;0,009688091;-0,023985518;0,0018947;0,093243514;0,05319284
21/11/2014;0,041422888;0,070170015;0,020031689;0,014672686;0,020371263
28/11/2014;0,00741573;-0,104708261;-0,018528226;0,018068124;0,034140579
5/12/2014;-0,028998439;0,006452654;-0,018120054;-0,076807229;-0,039067855
12/12/2014;-0,060188376;-0,088315435;-0,043060383;-0,016984934;-0,003685212
19/12/2014;0,025421657;0,053094233;0,02933272;-0,024144214;0,016107863
26/12/2014;0,024076281;0,010517529;0,006245102;0,030643548;0,020549554
2/01/2015;-0,019087523;0,002643317;-0,027928542;-0,001844123;-0,011621217
9/01/2015;0,021120076;-0,049101994;-0,041101748;-0,037566446;0,04016298
16/01/2015;-0,0116198;-0,063767111;-0,01831256;-0,020846664;-0,02887521
23/01/2015;0,018339995;0,005182306;0,037727279;0,074465158;0,020053014
30/01/2015;-0,049411221;-0,013257227;-0,024099714;0,134895483;-0,039882499
6/02/2015;0,006801069;0,027803695;0,026371368;0,055707556;0,027653566
13/02/2015;0,013027744;0,049019608;0,025693787;0,020172064;-0,017405244
20/02/2015;-0,000476304;0,026825891;0,002382577;0,004792709;-0,017597017
27/02/2015;0,031689302;-0,02241699;0,030941151;-0,009122661;-0,004389087
6/03/2015;-0,041108545;-0,012241379;-0,021931001;-0,000184133;-0,015965686
13/03/2015;-0,038776493;-0,010473032;-0,014949867;-0,02502039;-0,008354522
20/03/2015;0,018541719;0,010583877;0,014379074;0,021344919;0,016361416
27/03/2015;-0,01402214;-0,009251178;-0,021260823;-0,020951676;-0,02270543
3/04/2015;0,01497006;0,014622974;0,003218018;0,004560665;-0,007621389
10/04/2015;0,004916421;0,026740754;0,143144959;0,027938214;-0,000990958
17/04/2015;-0,014187867;0,006595637;-0,044195831;-0,018528682;-0,034345939
